,Date,Value
0,2018-07-31,1304.0
1,2018-06-30,1305.0
2,2018-05-31,1302.0
3,2018-04-30,1295.0
4,2018-03-31,1288.0
5,2018-02-28,1286.0
6,2018-01-31,1294.0
7,2017-12-31,1308.0
8,2017-11-30,1319.0
9,2017-10-31,1317.0
10,2017-09-30,1302.0
11,2017-08-31,1286.0
12,2017-07-31,1278.0
13,2017-06-30,1272.0
14,2017-05-31,1263.0
15,2017-04-30,1255.0
16,2017-03-31,1251.0
17,2017-02-28,1255.0
18,2017-01-31,1266.0
19,2016-12-31,1281.0
20,2016-11-30,1299.0
21,2016-10-31,1317.0
22,2016-09-30,1334.0
23,2016-08-31,1346.0
24,2016-07-31,1342.0
25,2016-06-30,1331.0
26,2016-05-31,1319.0
27,2016-04-30,1314.0
28,2016-03-31,1313.0
29,2016-02-29,1298.0
30,2016-01-31,1293.0
31,2015-12-31,1292.0
32,2015-11-30,1313.0
33,2015-10-31,1334.0
34,2015-09-30,1366.0
35,2015-08-31,1391.0
36,2015-07-31,1406.0
37,2015-06-30,1404.0
38,2015-05-31,1398.0
39,2015-04-30,1381.0
40,2015-03-31,1367.0
41,2015-02-28,1338.0
42,2015-01-31,1310.0
43,2014-12-31,1298.0
44,2014-11-30,1306.0
45,2014-10-31,1341.0
46,2014-09-30,1353.0
47,2014-08-31,1352.0
48,2014-07-31,1309.0
49,2014-06-30,1256.0
50,2014-05-31,1212.0
51,2014-04-30,1190.0
52,2014-03-31,1206.0
53,2014-02-28,1207.0
54,2014-01-31,1223.0
55,2013-12-31,1218.0
56,2013-11-30,1256.0
57,2013-10-31,1287.0
58,2013-09-30,1304.0
59,2013-08-31,1311.0
60,2013-07-31,1327.0
61,2013-06-30,1369.0
62,2013-05-31,1348.0
63,2013-04-30,1324.0
64,2013-03-31,1317.0
65,2013-02-28,1338.0
66,2013-01-31,1319.0
67,2012-12-31,1281.0
68,2012-11-30,1271.0
69,2012-10-31,1306.0
70,2012-09-30,1323.0
71,2012-08-31,1308.0
72,2012-07-31,1281.0
73,2012-06-30,1257.0
74,2012-05-31,1263.0
75,2012-04-30,1265.0
76,2012-03-31,1279.0
77,2012-02-29,1276.0
78,2012-01-31,1268.0
79,2011-12-31,1270.0
80,2011-11-30,1286.0
81,2011-10-31,1308.0
82,2011-09-30,1320.0
83,2011-08-31,1306.0
84,2011-07-31,1295.0
85,2011-06-30,1291.0
86,2011-05-31,1284.0
87,2011-04-30,1286.0
88,2011-03-31,1276.0
89,2011-02-28,1291.0
90,2011-01-31,1280.0
91,2010-12-31,1268.0
92,2010-11-30,1267.0
